month,rank,repo,stars
2026-08,19,OthmanAdi/planning-with-files,25894
2026-08,20,phuryn/pm-skills,24736
2026-08,21,JimLiu/baoyu-skills,24410
2026-08,22,agentskills/agentskills,23713
2026-08,23,alirezarezvani/claude-skills,23575
2026-08,24,KKKKhazix/khazix-skills,18868
2026-08,25,teng-lin/notebooklm-py,18385
2026-08,26,alibaba/open-code-review,17082
2026-08,27,kubesphere/kubesphere,17015
2026-08,28,microsoft/SkillOpt,15439
2026-08,29,alibaba/zvec,15351
2026-08,30,eigent-ai/eigent,14710
2026-08,31,NevaMind-AI/memU,14215
2026-08,32,wanshuiyin/Auto-claude-code-research-in-sleep,14090
2026-08,33,aden-hive/hive,10828
2026-08,34,AgriciDaniel/claude-obsidian,10191
2026-08,35,tt-a1i/archify,8328
2026-08,36,xixu-me/xget,8173
2026-08,37,nexu-io/html-anything,8032
2026-08,38,AgriciDaniel/claude-ads,7739
2026-08,39,refly-ai/refly,7470
2026-08,40,jnMetaCode/superpowers-zh,7388
2026-08,41,citrolabs/ego-lite,7104
2026-08,42,Agents365-ai/drawio-skill,6981
2026-08,43,htmlstreamofficial/preline,6372
2026-08,44,trailofbits/skills,6368
2026-08,45,ThinkInAIXYZ/deepchat,6181
2026-08,46,ikaijua/Awesome-AITools,6119
2026-08,47,heilcheng/awesome-agent-skills,6044
2026-08,48,antfu/skills,5692
2026-08,49,Gen-Verse/OpenClaw-RL,5617
2026-08,50,gosom/google-maps-scraper,5354
